Core Data,Related
M. Saddique Industries,TANVEER RICE
Sinco Steel Rerolling Mills,SHAN RICE
Asia Ghee Mills,HAFIZ RICE
Abdul Khaliq Enterprises,AL-LATIF RICE
Shamim Ghee Mills,AHMAD RICE
Nazar Hussain Bricks,EVER GREEN
Muhammad Akram Bricks,G.K BRICK
Abdul Khaliq Bricks,SYED BRICK
Abdul Kareem Bricks,A1 BRICK
Malik Brothers Bricks,KHAN BRICKS
Allah Diwaya Bricks,SYED &
Abdullah Bricks,AWAMI BRICKS
 Noor Muhammad Bricks,MOHAMMADI BRICKS
Bhattha Hafeez Ullah ,A.H BRICK
Sanjna Nawartas Pakistan,AL-AKHWAN RICE
May Flower Secondary School,HAMEED SONS
Fatima-tu-Zahra  Girls School,MUSLIM COTTON
Haji Abdullah Ice Factory,RAI BRICK
Abbasi Ice Factory,CH. SHOUKAT
Ashraf Sugar Mills,Z.A BRICK
Danish Petroleum / Sittara e Hilal,M.A. BRICK
Sadiq Dosat Filling Station,AJAB KHAN
Saber Trucking /Almezan Petroleum,KHAN BRICK
Arbi Petroleum Service,CH. BRICK
Choudhry Filling Station,ZIA BRICK
Ismail /Gallani Petroleum,MALIK BRICK
Ali Zai Petroleum Service P S O,KHURSHEED AHMAD
Ahmad Pur Petroleum Service /CNG,RANDHAWA BRICK
Javed Enterprises / CNG,G. H
Almehmood Petroleum Service,SHEIKH BRICKS
Bahawal  C N G,THAIM BRICK
Mian  C N G,MHER MUHAMMAD
Ghousia C N G,SYED MUNAWAR
Rahber Petroleum Service,MHER MUHAMMAD
Ahmad Gas Filling Station,IQBAL RICE
Ahmad Petroleum Service,CHENAB BOARD
"Pak Fuel CNG, APE",TAHIR RAFIQUE
"Power CNG, APE",MADINA SUGAR
Uch Syed Jalal CNG,CHINIOT SAFETY
Al Meezan CNG,SAFINA SUGAR
Ahmed Brother CNG,AL-SHEIKH FLOUR
Al-Khair CNG,AL-HUSSAIN FLOUR
Al Samad CNG,AGRICULTURAL ENGEENERING
Uchsharif Petroleum,MASTOI FLOUR
Gillani CNG,AL-MANZOR FLOUR
Mukhtar Gillani Petroleum,SARDAR FLOUR
National Al Sirat,GHAUSIA GHEE
Inaam Oil Mill,INDUS BHATTA
Masood  Iqbal Oil,KHUSHI BHATTA
Farooq Masood,SHAHEEN BHATTA
Al Hassan Oil Mills,GHULAM RAZA
Fazal Oil Mills,ATTAULLAH FLOUR
Al Sadiq Oil Mill,NADIR SHAH
Malik Oil Mills,NAZIR BHATTA
Gillani Oil Mills,ATTA BHATTA
Qadir Oil Mills,MALIK BHATTA
Iqbal Oil Mills,AFZAL BHATTA
Mashallah Oil Mills,NEW SHAHEEN
Ali Raza Cotton,ANWAR BHATTA
Nazir Oil Mills,NEW AL-MADINA
Kamran Oil Mills,LISHARI BHATTA
Al Mezan Oil Mills ( Al Riaz Oil Mills),NIZAMIA BHATTA
Al Aziz Oil Mills,NEW GILANI
Al Qadir Oil Mills,ALEEM BHATTA
Najaf Oil Mills,SUPER SHAHEED
Usman Rice Mills,KHASAT KHAN
Haji Faiz Muhammad & Sons,QASMANI BRICKS
Islamia Oil Mills,MALIK BROTHER
Madina Flour Mills,KHAN BRICKS
Malik Ice & Oil Unit,FRIENDS BHATTA
Ittehad Flour Mills,SARWAR BHATTA
Madni Oil Mills,MASHA ALLAH
Ghause Azam Flour Mills,JALALANI BHATTA
Chragh Mustafa Flour Mills,LAKKI BHATTA
Kamran Model Cotton Factory,ABDUL AZIZ
Al Serat Cotton Factory & Oil Mills,BASHIR KHOSA
Al Jameel Cotton Factory ( Al Hasan Cotton Factory,SHAREEF BHATTA
Madni Cotton Factory ( Ever Green ),SHAREEF BHATTA
Ahmad Pur Cotton (Awami Cotton),SHAREEF BHATTA
Irshad Model Cotton,SHAREEF BHATTA
Ellahi Model Cotton (Al Atta Cottn),AL GHAZI
Al Khair Cotton Factory,AL HAMD
Al Amjad  Cotton,ABDULLAH MAAZ
Al Hamad Model Cotton Factory,KOT ADDU
Ahmed Ramzan/Azmat Cotton /Al Rehman Model Cotton,AL HAMD
Khan Ginners (Aagha Industries),AL HUSSAIN
Kh.Basher & Sons (Ghareeb Nawaz),HASHIM AND
S A F Cotton /Cheema Industries,REHMAN BROTHER
Bahawal Cotton (Al Aziz Cotton ),MUSA KHEL
Madni Cotton Ginners (Al Hanif Cotton-Unit 2,IQBAL BROTHER
Mian Cotton Ginning Pressing & Oil Mills,ATTA HUSSAIN
Najaf Cotton Factory,JALIL BHATTA
Ahmed Zaman Cotton / Ibrahim Cotton,HASAN NAWAZ
Al Noor Cotton (Ghous ul Azam Cotton),HAJI ABDULLAH
Data Cotton,RIAZ BROTHER
R C A Cotton Factory Channi Gouth,IQBAL BROTHER
Al Mustaqeem Cotton Ginners,AL-HAMD BHATTA
Shekrani Model /Al Rehman Model Industries,DILDAR BHATTA
Madina Cotton Factory,NEW BHATTA
Ali Raza Cotton Unit 2,SITARA BRICKS
Al Barkat Cotton Industries,SADA BAHAR
Mudassar Cotton Industries / Rasool Model Unit 2,AL-MADINA BHATTA
Mohkam Cotton Ginning Pressing Factory,AL-QADIR BHATTA
Bismillah Cotton Ginners,AL-MADINA BHATTA
Do Aaba Model Industries,HAJI DARAZ
Subhan Allah Cotton Ginners,HAJI ABDUILLAH
Ali Hussain Cotton Ginners,ADIL HUSSAIN
Al Qaim Cotton Factory,SHAKH-E-MADINA BHATTA
Gehlan Cotton,BELA BHATTA
R  C  A  Mehmood Abad,NOOR KHAN
Sohil Faraz Cotton Industries,RANA BROTHERS
Feroz Interprises / Ch Sheer Muhammad Cotton,AL-BADAR BHATTA
Shadab Cotton Factory,KAMAL BHATTA
Ali Mehdi Cotton,AL-MADINA BHATTA
Haji Faiz Muhammad & Sons Cotton Oil,SARKANI BHATTA
Rasool Model Cotton Industries,REHMAN BHATTA
Shabbir Cotton Ginners / Sittara Cotton,MUHAMMAD IQBAL
Haji Faiz Muhammad & Sons Cotton Oil,MUHAMMAD IQBAL
Yazman Cotton Industries / Bajwa Cotton Industries,AL-HAMD BHATTA
Khan Brothers Cotton Ginning Pressing,CHANDNI BHATTA
Afzal & Co Cotton Ginners (Awaisi Cotton),CHAUDRY NAZIR
Ahmad Faiz Cotton Ginning pressing  Oil Mills,AL-HILAL BHATTA
Ghouri Cotton Industries,GULSHAN MAHO
Al Hafeez Cotton Factory,CHAUDRY BROTHER
Raja Cotton Industries,MALIK BROTHER
Junaid Cotton Ginnig Pressing & Oil Mills,ABDUL MAJEED
Cheema Seed Corporation,SAEED BROTHERS
AL Noor Cotton  Factory,AMIR INAYAT
Wajid Seeds Corporation,LASKANI BHATTA
Ahmed Umer Cotton Ind.,QAZI BROTHER
Sadaat Paper Mills,BHATTI BROTHERS
Contenental Engineering,NIKI BHATTA
Star Cable Network,QAZI BROTHERS
Bhattha Hameed Khan,BISMILLAH BUKHARI
Bhattha Pathanay Khan,UNITED BHATTA
Bhattha Rana Bashir,TANVEER BHATTA
Bhattha Qasim Wala,BHATTA KHASHT
Bhattha Ghulam Rasool,BISMILLAH BHATTA
Bhattha Usman Mian,INSAF BHATTA
Bhattha Abdul Kareem,MUZAMMIL BRICK
Bhattha Atta Muhamma,NIZAMI BHATTA
Five Star Bricks,MEHARBAN BHATT
Bhattha Ahmed Bux,GOMAL BHATTA
New Public Model School,AL-MADINA BHATTA
Ahmed Pur Public High School,WASEEB BHATTA
Allama Iqbal Public School,BALOCH BRICKS
Jinnah Public School,A1 BRCIKS
Laraib Public School,SHAHEEN BHATTA
Islamic Model Secondary School,MZF BHATTA
Al Saleem Public School,NEW GOMAL
Punjab Public High School,KAISRANI BHATTA
Muslim Public High School,SUPER SHERANI
Al Mubeen Public School,NEW SHERANI
Faran Public School,NEW GUL
Kinder Gartan Public High School,BAHADUR BHATTA
Idial Public School,BAHADUR BHATTA
Oxford Public High School,NEW CHAND
Bahawal pur Public School,AL-ABID BHATTA
Sublime Public School,PEER PHATTAN
Eden Garden School,IQBAL BHATTA
New Al Saleem School,KHWAJA BHATTA
Al Noor Higher Secondary School,KHOJA BHATTA
Ayesha Model School,JAMALI BHATTA
Misali Superior School,NIZAMI BHATTA
Misali Scholar Cadet School,NEW MEHMOODI
Islamic Model Secondary School Unit 2,FAREED COTTON
Ahmed Pur Public High School,SANGHAR COTTON
Abbasia Palace Cinema,WASEEB COTTON
Prince Cinema,MASTOI FALOUR
Firdos Cinema,GILANI FALOUR
Food Club,AL- MANZOOR
Hassan Ice Factory,GHAZI FALOUR
Madni Ice Factory,AL HUSSAIN
Muslim Ice Factory,THREE STAR
Bismillah Ice Factory,AHMAD FARAZ
Aman Ullah Ice Factory,PAK CITY
"H.N.R. Petrolium Service, Hasilpur Road, Bahawalpur. ",KHALIL FALOUR
"Majeed Waheed Enterprisis spinning unit. (Blue Star Spinning), Lal Sohanra, Bahawalpur. ",IRFAN AGRO
Al-Madina Oil Mills Khairpur Tamewali Bahawalpur. ,WATTAN RICE
"Hassan Ginners (Hassan Oil Mills) Sheikh Wahin, Khairpur Tamewali Bahawalpur. ",BISMILLAH RICE
"Abdul Qadir Cotton Factory (Al-Hassan Industries) Israni, Khairpur Tamewali Bahawalpur. ",CANIRA RICE
"Mehmood Traders (Cotton Unit), Jalwana Cotton Bahawalpur. Road, Khairpur Tamewali, Bahawalpur. ",ZIKRIA COTTON
"Khan Cotton Ginners (Ameer Hamza / Al-Faisal Cotton Factory ) Khairpur Tamewali, Bahawalpur. ",ALI COTTON
"K.K.S. Cotton Ginning & Oil Mills(Friends Cotton), Habib Abad, Khairpur Tamewali, Bahawalpur. ",ABDULLAH MUAZ
"Masha Allah Cotton Ginners , Mouza Chandipur,Khairpur Tamewali, Bahawalpur. ",AL HAMD
AIZAZ CLINIC,FAROOQ NASIR
MISSAN OIL MILLS,NEW AMJAD
"FIST SECURITY GUARD PVT. LTD,",AL-MANZOOR COTTON
Bahoo Petroleum Service,QAISRANI COTTON
Saber Filling Station,GHULAM HAIDER
Qaderia United Filling Station,CH. NAZIR
Mashallah Ice Factory,LIGHARI FLOUR
Pakistan Model School,NASUHA FLOUR
Al Sadiq Public School,MUSHTAQ BROTHER
Malik Noor Muhammad Ice,LAKH DAATA
Makkai Ice Factory,AL SHEIKH
Azeem Ice Factory,DG FLOUR
Suzuki Bahawalpur Motors,BHATTA DARAZ
Power Steel,BHATTA MANGLA
Al Hamad Model Cotton Factory,IBRAHIM BHATTA
Sadiq Dosat Filling Station,MIRWANI BHATTA
"Millat Oil Mills SIE, Bahawalpur.(Duplicate) ",RANA BROTHER
Manzal Pwtroleum Service,QAZI BROTHER
Manzal Pwtroleum Service,QAZI BROTHER
Sarhad Gasoline Petroleum,AWAMI BHATTA
Baba Farid Bricks Kilns,SHIRANI BHATTA
New Punjab Bricks Kilns,NEW AWAMI
Ittefaq Bricks Kilns,MALIK BROTHER
Bloom Filed Hall  Upper School,NEW SAKHI
Bloom Filed Hall Junior School,"IQBAL BROTHER,BHATTA"
Karakaram Security Service (Pvt). Ltd.,AL-HAMD BHATTA
"Dar-E-Arqam, School",DAR-UL-EHSAN BHATTA
"Bhatta Abbas Khan, ",CHAND BHATTA
Bhatta Noor Khan  ,"AL-HABIB,BHATTA KHIST"
"Bhatta Abdul Majeed,",NEW ADIL
"Bhatta Shehzad ,","ASHAQUE HUSSAIN,BHATTA"
"Bhatta Yaseen Khan Abbasi Unit-1,",SHAHZAD TRADORS
"Bhatta Yaseen Khan Abbasi Unit-2, ",HABIB COTTON
"Bhatta Faiz Ahmed, ",KHALIL COTTON
"Bhatta Malik Raheem Buksh,",AL HAMAD
"Al Madina Bricks,",AAMIR COTTON
"Awan Bricks Company, ",HUMZA JAVAID
"Hassan Bricks,",HASNAIN IRFAN
"Al Madina Bricks, ",AL HUSSAIN
"Haji Nadim Bricks, ",KOT ADU
"Khan Bricks Company, ",ABDULLAH HASEEB
"Mohsin Bricks, ",AGRICULTURAL ENGINEERING
"Shadab Roller Flour Mills Baghdad Road, Bahawalpur. ",PRINCE PARTS
"New Tasty Samosa, BWP",CHOTAI TEXTILE
Abid Rice Mills,ARAIN MILLS
"Ameen Ice Factory, BWP",ARAIN FIBERS
"Makkah Rice Factory, BWP",HAMZA (YAHYAH)
Blue Star Textile,SULEMAN SIPPING
Ch. Brothers,RAHIM BAKHSH
Dawoo Bus Service,ARAIN TEXTILE
SHAH JAHAN GRILL RESTAURANT,AL HAMD
Adil Cotton Factory,AL GHAZI
HASSAN OIL MILLS,DG.KHAN CEMENT
"Bahawalpur Chamber of Commerce & Industries,",MACCA FLOUR
Mirch Masala Reasturent ,THE NEW
Millat Hospital,HIBA FABRICS
Faraz Hospital ,SEITH MUHAMMAD
Nine One One (911) Security,SHER CO
NEW AL KHAIR MODEL INDUSTRIES,M/S BATALA
AL QASIM TRADERS,M/S INSAF
ABDUL REHMAN OIL MILLS / AL REHMAN OIL EXP.,HAJI GHULAM
THE COUNTRY SCHOOL,NEW MASTER
AL REHMAN PUBLIC SCHOOL,NEW AL
PREMIER EGENCIES,MEHMOOD INDUSTRIES
Muslim Medical Hall ,SADIQIA BATALA
KIPS ACADEMY,M NADEEM
"Remkon Distribution, BWP",COMMANDAR ZARI
"New Khan Road Runners / Al-Barkat Chemicals SIE, Bahawalpur  ",MUHAMMAD ISHAQ
New Islamic Model Public School,MUGHAL ITTHAD
My LAB,PUNJAB BEVERAGES
METRO SHOES,SHAKARKANG EINGEERING
"Bata Shoes, Bahawalpur",INTERNATIONAL LINENS
New Khan Road Runners,KHALID &
SATLUJ PVC & ENGINEERING WORKS,NEW SUBHAN
ABDUL WAHEED KHAN & COMAPNY,ISMAIL BRICKS
New Islamic Model Public School,RACHANA BRICKS
Sikandar Filling Station,FAZAL BRICKS
Mian Petroleum Service  ,SUPER BRICKS
Al Madina Petroleum Service ,SAAHI BRICKS
New Yazman Petroleum Service ,GILLANI BRICKS
Hajvari Educational Complex ,SYED ARAI
The Educators School ,ABDULLAH BRICK
Missali Rehman Islamic Science High School ,HAJI MUHAMMAD
New Iqra Public High School ,MUNIR JUTT
Unique Islamia High School ,MC BRICKS
AL FARID PETROLEUM (MASHALLAH) ,MUDASIR BRICKS
AL SAUDIA PETROLEUM SERVICE ,MUBARIK BRICK
"Khan's Hotel & Restaurant Circular Road, Bahawalpur. ",KHALID KHARAL
Stam Ford System of Education ,KHAN BRICKS
"Ali Traders (General Service Contractor), PIA",HASSAN BRICKS
Data Sweets & Bakers,MAHER BRICKS
Data Reasturant & Fried Chicken,ITFAQ BRICK
Mughal Ice Factory,RANA GULZAR
Ikhlaq Medicine Company,ZAHID HAMEED
Grand Regency Reasturant,SUN SHINE
Thotha Flour Mills,MADNI BRICKS
Bilal Petroleum Service,AL-SAUDIA BRICKS
Koh-e-Noor Flour Mills,HAJI BARKAT
Ismail Petroleum ,ALLAH TAWKAL
THE COUNTRY SCHOOL ALI CAMPUS,ABDUL MAJEED
Majid Brothers Transport Company,SHABIR BUTT
Nasir Javaid & Company ,WAQAS ASHFAQ
Toyota Bahawalpur Motors,HAJI DILSHAD
"Afzal & Brothers Bricks Killins, ",SUNSHINE BRICKS
"Yazman Bricks Killins, ",IMRAN &
"New Kaleem Bricks Killins, ",CH. BRICKS
"Bhatta Mallang Bricks Killins,",SAHI BRICKS
Army Bricks Killins ,KHOKAR BRICKS
"Sajid Bricks Killins  (Duplicate) , ",JARANWALA BRICKS
"Bhatta Suleman Khan Lease Bhatta Muhammad Bux, ",AL-MADINA BRICKS
"Ittefaq Bricks Company,",SULTAN BRICKS
Bhatta Bras Bricks Killins Lease Sh. Maqbool,FAIZAN BRICKS
Bhatta Khadim Hussain,MIAN BRICKS
"Haji Shahid Bricks,",NEW KHAWAJA
"Mian Bricks Company,",SARDAR BRICKS
"New Mashalla Bricks Kilns,",FOUR STAR
Choudhary Babar Bricks Killins,WARAICH BRICKS
Haji Razzaq Bhatta,WARACH BRICKS
Bhatta Imran Rahim Bricks,AL-HUSNIAN BRICKS
"WN Bricks, ",RANA AFZAL
"Muhammad Bin Munir Bricks, ",SUBHAN BRICKS
Dilawar Bricks,FIVE STAR
"Bhatti Bricks Killins, ",CH. BRICKS
Sattar Bricks Kilns,M. NAWAZ
Malik Sardar Bricks,NEW ITTHAD
Bhatta Malik Khadim,ITTHAD BRICKS
Ahmed Bux Bhatta,WARRAICH BRICKS
Image System Marketing Pvt Ltd,PAK MADINA
Dharala Auto Industries,HASEEB BRICKS
"Sheikh Construction company,",ALLAH TAWAKAL
Sahra Cotton Industries,RANA BRICKS
Watan Oil Mills,MIAN BRICKS
Al Barkat Chemical Factory,JALAL BRICKS
Rohi Farm Industries ,RANA WARIS
Rozi Khan Bricks,MAHAR BRICKS
Bhatta Malik Zubair,FAISAL BRICKS
Bhatta Haji Abdul Rasheed,ALLAH HOO
"Bhatta Dilsahad Arrain, ",JAVID BRICKS
Bhatta Malik Zahid ,RANA BRICKS
Bhatta Haji Abdul Majeed and Co,RAJPOOT BRICKS
Bhatta Malik Habib,FIVE STAR
Bhatta Mian Bilal,MIAN BRICKS
Bhatta Rana Afzal,SAHI BRICKS
Bhatta Haji Rasheed  Unit #2,NEW ITHAD
Bhatta Ejaz Ahmed,HAQ BAHOO
Munawar Chashti Bricks,RAI ABU
Ch. Munir Bricks,AL-MAKAH BRICKS
Bilal Bricks Works,AL-FAZAL BRICKS
Al Mubaric Bricks,RANA BRICKS
"Bhatta Ajmal ,",ALI BRICKS
"Five Star Bricks Company, ",ALA BRICKS
"Malik Dawood Bricks, ",SAHI BRICKS
"Bhatta Muhammad Ali Unit-2,",HASEEB BRICKS
"Ali Haider Bricks Company,",AWAN BRICKS
"Bhatta Muhammad Ali Unit-1,",ADEEL BRICKS
"Bhatta Al Makkah, ",MALIK BRICKS
Al Huda Public School,IMRAN BRICKS
Jahan Gusht Public School,AL-MAKAH BRICKS
Al Shamas Model Middle School,KHAN BRICKS
Hassan Missali Public School,AZEEM BRICKS
Sahar Public High School,RANA DIL
Suzuki Bahawalpur Motors,AL-SYED &
Power Steel,HAJI BRICKS
Muneer Ice Factory,ITTFAQ BRICKS
Waqar Ice Factory,MEHER BICKS
"Sanat Anthani Public School, BWP",SITARA BRICKS
"Haji Abid Bricks, Bahawalpur",MALIK &
"Sona Chandi CNG, BWP",HAJI ABDUL
Five Star Cotton,RANA ABDUL
Ahmed Agency,RANA HAMID
ABDUL REHMAN PETROLEUM FILLING STATION,M. ASLAM
"BAHAWALPUR OIL INDUSTRIES,",CH. GZANFAR
Ittefaq Bricks Kilns,RANA ASHFAQ
MIAN BRICKS & CO,CH. M.
SUBHE SADIQ PETROLEUM,MUJAHID DOGAR
Mashallah Steel Almari Maker,SMAN BRICKS
Citi Pharmacy,ZAHID HAMEED
Sajid Pharmacy,CH IMRAN
Nazar Hussain & Company,MEHMOOD BRICKS
Goraiya Bhatta Corporation,ALI BRICKS
Saima Model Public School,HAFIZ SADIQ
Basharat Medicine Company,GH BHATTA
SHAHJAHAN BANQUET HALL,A.R BRICKS
AIMS System of Education  (Girls & Boys Branch),ITHAD BRICKS
House of Channab,MADINA BRICKS
Ali Haider Oil & Ghee Industry,BABA BRICKS
KOOK Industries Pvt Ltd  (Lessee Hameed Ghee),M.S BRICKS
Madina Petroleum (Attak),MAKKAH BRICKS
Hafiz + Pharmacy,SEAUL BRICKS
Superior College ,SEAUL BRICKS
ALI ASHER ENTERPRISES,ZULFAQIR BRICKS
RAJPOT OIL INDUSTRIES,HAJI ABDUL
MADINA MODEL SCHOOL,ADNAN BRICKS
Ideas (Gull Ahmed) ,HAFIZ BRICKS
Zohaib & Company,AB BRICKS
Lataska Bahawal Club,HAJI SKHAWAT
Hussain International Service Pvt. Ltd,RAMZAN BRICKS
Khawaja cold Store,RAFIQ BRICKS
Outriders pvt Ltd,KHAN BROTHER
Nishat Linen,RAMZAN BRICKS
Lataska Fried Chicken,MADINA BRICKS
NCBAE Sub Campus,GILL BRICKS
Lahore Chatkhara,NEW PAK
Five Star Bricks Company,HAIDER BRICKS
Pakistan Bricks Company,A-ONE BRICKS
New Ali Islamic Middle School,AL-AZIZ BRICKS
Millat Pharma (Distributor),TOHEED BRICKS
Nest Pharma ,SORYA BRICKS
PEST Kill (Pvt) Ltd,FRINDS BRICKS
Milli Shoes Circular Road ,HAIDER SONS
Sada Bahar Bricks Company,PAK BRICKS
Mursaline Bricks Company,TAWAKEL BRICKS
Peer Saen Bricks Company,NEW SUBHAN
KHAWAJA COLD STORE,DATTA BRICKS
Khalid Agro & Dairy Form,TOHEED BRICKS
Pakistan Pharma,CHADUHAR BRICK
Ittehad Pharmacy,YASIR BRICK
EHSAN COTTON INDUSTRY & OIL MILLS,TALHA &
WASABI MAILA RESTAURANT,NEW KHALID
ISMAIL OIL MILLS,ANYAT ULLAH
AZIZ ENTERPRISES (OIL MILL),HINJRA BRICKS
Madni Pakistan Oil Mills,BHI BHI
Mian Edible Oil,RANA BRICKS
Khawaja Cold Storage,MIAN BRICKS
New United Medicine,DARUL IHSAN
Al Hafiz Petroleum Service,BEHRAM BRICKS
Proffesional Employer Pvt. Ltd. ,FAISAL NADEEM
KHAADI,PAK BRICKS
WARDA Designer Collection,SAEED AHMED
Sab Way,ITFAQ BRICKS
Root IVY International Pvt. Ltd.,GAPAH BRICKS
Iqbal & Sons,MAKKAH BRICKS
Bright Career Public School,PAK BRICK
 The Educators,UMIR BRICKS
Out Fitter Bahawalpur,HAIDER KHAN
Urban Sole ,BARNALA BRICKS
Malik Naveed Wood Works,KHAN BRICKS
Allied School (Ahmed Campus),HAJI MUHAMMAD
Ehsan Chappal Store,ALI MUHAMMAD
"Prince mart super store, BWP",AL-QAMAR BRICKS
"SMS Courriers, Bahawalpur. ",REHMAN BRICKS
"Ch. Faqeer Muhammad & Sons RCC Pipe, SIE, Bahawalpur  ",INSAF BRICKS
Askari Guard Pvt Limited,RIGHT BRICKS
NEX GEN Communication ,DHRAWALA BRICKS
Super  Group Pesticide,NEW DATA
Zam Zam Oil Mills,MIAN BRICKS
Al Meezan Cotton Industries,SUFFIAN BRICKS
Fast Secuirty Company,RAJPOOT BRICKS
Citi Cafey & Grill,ISLAM ABAD
Kamran Communication (Telenor Frunchise),MAKKAH BRICKS
Shahrukn-E-Allam  Petroleum Service,ADIL BRICKS
ALI GOHAR & COMPANY,THE ALLIDE
"M/S.  3RS WASTE MANAGEMENT (PVT) LTD,  (BAHAWALPUR),",AL-MAKKAH BRICKS
Al Makkah Cotton Ginning Pressing & Oil Mills,ALI BRICKS
New Millat Bakers,ZABAR BRICKS
National Cotton Industries,MADINA BRICKS
ATCON Construction,ABDULLAH BRICKS
Sargrah Service Ltd,UMER BRICKS
Bloom Field Hall School(J-B),KAMBO BRICKS
New Pioneer High School,DAULAT BRICKS
Burgar Avenue ,ALI BRICKS
Focus / Pepper Land,ALI HUSSAN
Al Nazeer Flour Mills,HAJI SAEED
Jatala Cotton Industries,HADAIYAT BRICKS
"SIKANDAR SEEDS,",RANA ABDUL
MUBASHIR COTTON FACTORY,BAJWA &
"NEW BALAGOM OIL MILLS LEASE SITARA PAKISTAN OIL MILLS,,",BABAR KHAN
Haji Bricks  Company,MASHALLAH BRICKS
Mian Brick Company,CH. NASEER-UD-DIN
Madarsa Bricks Company,SHAHEEN BRICKS
Ahmed Bricks Company,RANA ARIF
Al Noor System of Education ,HUSNAIN BRICKS
Munawar Khan Bricks,BABA TAJ
Sabri Bricks,RAJPOOT BRICKS
Arham Bricks Agency,ITEFAQ BRICKS
United Bricks Agency,MALIK BRICKS
Newtrational Foods,FAIZI BRICK
"Muneer Rice Factory, Sanam Cinema Road, Bahawalpur",ITEHAD BRICKS
NEW ARRAIN BRICKS COMPANY,DIAMOND BRICKS
MADINA PETROLEUM SERVICE,JHOLAY LAL
THE NEXUS EDUCATION SYSTEM,SAHRAB BRICK
SHAKAR GANJ FOOD PRODUCTS PVT (GOOD MILK),VIRK BRICKS
SITC HOSPITAL (SOHAIL INFERTILITY TREATMENT CENTER),MIAN BRICK
IQBAL HOSPITAL,SHER HAIDRI
BAHAWALPUR HOSPITAL,HAFIZ BRICK
"NAQASH PUBLICTY , ",MUBARIK BRICKS
DATA SWEETS & BAKERS (2),SANGHARA BRICKS
KABABISH GRILL REASTAURANT,LAJ PAL
AL AHAD ENTERPRISES,ADBULLAH BRICKS
"Yazman Cold Store, Bypass Road,",IFTIKHAR BRICKS
AL REHMAN MEDICAL CENTER,BISMILLAH BRICKS
CINNA BAR FRIED CHICKEN,JAVED BRICKS
SUKHAIRA INTERNATIONAL AIR TRAVELS,SABIR BRICKS
WANJARA STORE,ITEHAD BRICKS
"WANJARA STORE (NO. 2),",PAK BRICKS
MOHKAM PHARMACY,REHMAN BRICKS
ZEESHAN BEVERAGES,HAJI BASHIR
ALLAH HOO BRICKS COMPANY,AA BRICKS
NEW PEER SAEN BRICKS COMPANY,WAHLA BRICKS
THE LEADER COLLEGE BAHAWALPUR,ITEHAD BRICKS
HABIT RESTAURANT BAHAWALPUR,KHAN BRICKS
"M/S. MACDONALD RESTAURANT,  (THE PROFESSIONAL CONTRACTOR)",BILLAL BRICKS
R & I ELECTRICAL APPLIANCES PVT LTD. (KENWOOD),WAHLA BRICKS
Al Karam Studio,ITFAQ BRICKS
Icon Consultant,CH. BRICKS
Dar-e-Arqam School,CRISTAL BRICK
Shahid Surgical Care,ALI BRICKS
HAJI SARWAR RAJWALIA BRICK ,AWAMI BRICKS
MUBEEN PETROLEUM  SERVICE ,BASHIR AHMAD
IMRAN KHAN BRICKS COMPANY,ADNAN SALEEM
MADINA ICE FACTORY,BISMILLAH BRICKS
ASLAM ICE FACTORY,JINNAH BRICKS
BOBY ICE FACTORY,MIAN SHAHID
MADINA FAMILY CLINIC & MATERNITY HOME,RANA SHABBIR
NASIR & NISAR BEVERAGES,QAMAR TUFFAIL
UNITED DISTRIBUTOR,MUNEER AHMED
BIO SPEED PVT LTD,MIAN RIZWAN
Grace Computers,MANZOOR BRICKS
ALLIED SCHOOL OASIS CAMPUS,MAKKAH BRICKS
RIYAN HOSPITAL,RAB RAKHA
SUNSHINE PUBLIC SCHOOL,MAKI MADNI
SS WORLD PARK,RANA TAHIR
PAK ARAB SERVICES,ALTAF HUSSAIN
PIZZA HUT,HANIF BRICKS
TAHIR AUTOS ENGINEERING WORKS,JANI BRICKS
"ALLIED SCHOOL (BOYS & GIRLS),",HUSNAIN BRICKS
DATA SWEETS & BAKERS,ALI BRICKS
HAJI RASHEED SWEETS & BAKERS,AMJAD JUTT
DATA BRICKS COMPANY,GHOSSIA BRICKS
JATALA BRICKS COMPANY,HASSAN BRICKS
THREE STAR BRICKS COMPANY,BISSMILLAH BRICKS
ABDULLAH BRICKS COMPANY,MANJ BRICKS
RANA BROTHERS BRICKS COMPANY,RANA ANWAR
ITTEHAD BRICKS COMPANY,MANJ BRICKS
BAJWA BRICKS COMPANY,RANA JAMIL
PUNJAB BRICKS COMPANY,MASHALLAH BRICKS
ZULQARNAIN & SHAHBAZ BRICKS COMPANY,RANA JAMIL
MISSALI ZAKRAIN SCHOOL,AL-MADNI BRICKS
ASIF PUBLIC MIDDLE SCHOOL,CH. SABIR
SOS PAKISTAN LTD,AL QAMAR
AL MAIDA FRIED CHICKEN,RANA USMAN
ALLIED SCHOOL MUSLIM CAMPUS,BHATTI BRICKS
"ALLIED SCHOOL (USMANIA CAMPUS),",ABDUL JABBAR
SHOE BOX,CHAUDHARY BRICKS
PAKISTAN HOZRI & GARMENTS,ZAIN BRICKS
"ALLIED SCHOOL STADIUM CAMPUS,",USMAN BRICKS
ADAM COTTON INDUSTRIES,CH. SARDAR
"Pak Agro Chemical , SIE, ",DATA BRICKS
"Data Restaurant Chowk Fawara , BWP",BABA FARID
